ko,en
2015년 정기 전근 발령이 다음과 같이 발령되었으므로 통지합니다.,"The annual leave of absence for 2015 has been issued as follows, so I am notifying you."
나 봉사활동 해야 하는데 뭘 해야 할지 모르겠어.,I have to do volunteer work but I don't know what to do.
우리는 어른을 보면 인사해야만 해요.,We have to say hello to adults when we see them.
그들의 성장에는 좋은 영향을 미치지 못해요.,They don't have a good influence on their growth.
이런 점들을 참고하여 할지 안 할지 알려주세요.,Please let me know if I should do it or not by taking these things into account.
이메일로 사진이나 숙제 자료를 쉽게 주고받을 수 있습니다.,You can easily send and receive photos or homework materials via email.
내일 날씨는 태풍이 심하게 불 것 같아요.,The weather is going to be bad tomorrow.
사물놀이는 풍물굿을 4개로 나누었습니다.,They divided the fairy tale into 4 parts.
그래서 바이어가 부분 선적을 원하고 있습니다.,That's why the buyer wants partial shipping.
네가 가장 좋아하는 음식을 해줄게.,I'll make your favorite food.
우리가 헤어진 이유는 거짓말이 아닙니다.,The reason why we broke up is not a lie.
우리는 로마에 가서 많은 고대 유적을 보았습니다.,We went to Rome and saw many ancient remains.
베르사유 궁전 내에도 식당이 있지만 많지 않고 가격도 비싸다고 합니다.,They say they have a restaurant in the garden of Versailles but it's not that big and expensive.
넌 바꿀 수 없는 내 소중한 친구니까.,You are my precious friend that I can't change.
영국과 스웨덴 등에서도 범죄수익으로 비트코인이 환수되고 있는 것으로 알려졌어요.,It is known that bitcoins are being exchanged for criminal profits in the United Kingdom and Sweden.
왜 나는 수영을 여기서 할 수 없는 거죠?,Why can't I swim here?
저는 드럼을 치기 시작한 지 5개월 정도 됐어요.,It has been about 5 months since I started playing drums.
저는 잘못된 물건을 받았습니다.,I got a wrong item.
우리 언제 저녁 같이 먹어요?,When do we have dinner together?
그것은 단순하게 이해하신 것처럼 군대라는 하나의 문제 때문만이 아닙니다.,"Like you understand, it's not just because of one problem in the army."
우리 만약에 할 말이 있으면 문자로 하자.,"If we have anything to say, let's text each other."
4초 안으로 그것들을 이동시키세요.,You can move them in 4 seconds.
나는 그한테 모임에 참석한다고 거짓말을 했어요.,I lied to him to attend the meeting.
나는 당신과 그것을 처음으로 같이 해봐서 너무 좋아요.,I'm so happy to do it with you for the first time.
이렇게 메일상으로 만나 뵙게 되어 반갑습니다.,It's a pleasure to meet you by mail.
딴짓하지 말고 너는 너의 할 일을 해라.,Don't be mean and do what you have to do.
당신이 서울의 어디 어디 가봤는지 궁금해요.,I wonder where you've been in Seoul.
20년이 넘는 세월 동안 자신만의 매력이 살아 숨 쉬는 수많은 캐릭터를 만들어냈다.,They have made many characters with their own charms for more than 20 years.
상세한 일정은 다음에 메일로 알려 드리겠습니다.,We will let you know the detailed schedule by e-mail later.
내가 그녀를 존경하는 이유는 그녀의 외모가 예쁘고 또한 그녀는 나이에 맞지 않게 성숙하기 때문이에요.,The reason why I respect her is that she has a pretty face and she is matured without being old.
내가 이혼했다는 걸 알고 있었어요?,Did you know I got divorced?
그것이 분실되면 누구의 책임입니까?,Who is responsible if it is stolen?
나는 위로 형이 한 명 있어.,I have a sympathetic brother.
또 어려서부터 우리 부모님은 항상 바쁘셨어.,"Also, my parents were always busy since I was young."
어제 백화점에 물건 사러 갔다 왔어요.,I went shopping at the department store yesterday.
새벽마다 유산되는 꿈을 찾고 있어요.,I'm looking for a dream that is aborted every night.
나는 더는 당신 일에 신경 쓰지 않을 것 입니다.,I won't care about your work anymore.
나는 밤에 잠에서 깨서 불을 켰어요.,I turned on the light when I woke up at night.
너는 한국보다 미국에 더 친한 친구가 많은 것 같아.,You seem to have more close friends in America than in Korea.
이 사진을 Wing과 Jake에게도 전해줘.,Please also send this picture to Wing and Jake.
우리에게 보내주신 자료 감사합니다.,Thank you for the data you sent us.
목수가 자신의 공구가 있는 허리띠에 도구들을 매달았습니다.,The farmer put tools on the tool belt with his tools.
모바일에서만 제공되었던 다양한 콘텐츠를 접목하여 모바일과 PC 간의 연계 서비스 강화.,Integrate various contents that were only available on mobile to strengthen the connection service between mobile and PC.
원단 그라운드는 나일론 베이스로 폭 방향으로 스트레치가 좋아야 합니다.,The ground of the fabric should have a good stretch with nylon bases in the horizontal direction.
다음은 콥터의 윗부분과 아랫부분입니다.,Next is the upper and lower part of the cockpit.
인터뷰는 얼마 걸리지 않을 것입니다.,It won't take long for the interview.
에어 조던10 모델의 가장 큰 특징은 아웃솔에 새겨진 마이클 조던의 업적입니다.,The biggest feature of the Air Jordan 10 model is Michael Jordan's achievement on the outsole.
그거 정말 재미있겠는데요.,It must be fun.
이 세상에 태어나 당신들을 만나서 매우 행복했어요.,I was very happy to meet you when I was born in this world.
보기에는 많아 보이지만 의외로 많지 않아요.,"It seems to be a lot but surprisingly, it is not."
딸이 가진 항체로 모든 사람이 치료를 할 수 있었다.,"With the daughter's antibody, everyone could get a treatment."
이처럼 ‘융합'이 세계를 뜨겁게 달구고 있는 이유는 무엇일까?,"With this, what makes 'convergence' so hot in the world?"
유럽을 여행할 수 있는 돈을 얻어 매우 만족해요.,I'm very satisfied with the money I've got to travel around Europe.
내가 가장 좋아하는 친구는 지혜다.,The best friend I like is wisdom.
여러분들은 다른 것들을 전부 잊어버릴 정도로 무엇인가에 빠져든 적이 있나요?,How many times have you fallen into something that you can't remember?
"신입사원을 채용할 때, 가장 중요하게 고려하는 부분은 무엇인가요?","When hiring a new employee, what is the most important thing to consider?"
그녀는 누구에게 영향을 받았을까요?,How did she get influenced?
"14개짜리 사탕 한 박스가 100박스 있으면 1,400개이에요.","It's 1,400 boxes if there is a box of 14 candy."
그것은 사람들이 없으면 싹 일어나요.,It starts when there are no people.
나는 이 상을 받을 것을 예상하였습니다.,I expected to receive this award.
나는 방금 막 엄마랑 전화하고 왔어요.,I just called my mom.
마지막으로 어릴 때부터 교육을 하여 인종차별에 관심을 두게 해요.,The last thing is to raise awareness about racism from a young age.
내가 소개할 장소는 제주도입니다.,The place I am going to introduce is Jeju Island.
그는 단체 여행객들을 불친절하게 대합니다.,He treats group travelers unkindly.
다른 나라 중에서도 제일가보고 싶은 나라는 독일입니다.,The country I want to visit the most among other countries is Germany.
끝까지 들어주신 반 친구들과 함께하는 즐거움을 주신 션 교수님께 저는 감사드립니다.,"Congratulations to the professor, Tim, who gave us a great pleasure to listen to the class until the end."
그러나 미국에선 스타벅스가 문화의 변화를 일으킨 장본인이었어.,"But in the United States, Starbucks was the driving force in the change of culture."
나는 일을 위한 학습 계획에 대해 일하고 있어요.,I'm working on a learning plan for work.
나는 지금까지 다른 나라에 여행은 안 가 봤어.,I haven't been to another country until now.
그녀가 그걸 먹을 것입니다.,She will eat it.
이 아이디어는 손가락 자국의 기하학적 구조로부터 수익을 챙기는 것이에요.,This idea is to take profit from the biological structure of fingers.
음악은 학생의 예민한 감정을 부드럽게 해주어 도움이 되었습니다.,The music helped to soften the student's sensitive feelings.
저는 스테레오를 켜고 제 물건들을 정리해요.,I turn on the stereo and organize my stuff.
이번에 진행한 건의 두 배의 물량인 경우 항공 및 LCL 견적 부탁드립니다.,"If the quantity is twice as much as the previous order, please give me an air and LCL estimate."
"실례지만, 심양에서 시안까지 몇 시간 걸리나요?","Congratulations, but how long does it take from Sian to Sian?"
이 언덕은 저희 할머니를 화장해서 흩뿌린 곳이에요.,This side of the hill is where my grandmother was spreading her makeup.
그것을 사뿐히 밟으며 와줘요.,Please come to it with ease.
내가 조심하더라도 신호 위반을 하는 차량은 예측하기가 힘들어.,It's hard to predict cars that violate signals even if I'm careful.
오른쪽 기둥에 열쇠가 달려 있습니다.,There is a key on the right pillar.
당신은 당신 가족과 본인의 과거 병력을 혹시 아세요?,Do you have any information about your family and your past illness?
이번 대만 선교 때 너무 준비 없이 오다 보니 다시 생각해도 제 행동이 완전히 용납할 수 없다고 느껴졌어요.,"This time I came here without preparing for the mission in Taiwan, and I felt that I couldn't be expected to do anything about it."
여자가 좋아하는 남자에게 초콜릿을 주며 마음을 표현하는 날이에요.,This is the day that women express their feelings by giving chocolate to the man they like.
그녀는 화려하고 세련된 뉴욕의 거리 사진을 원합니다.,She wants a picture of a glamorous and refined street in New York.
무대를 성공적으로 마칠 때마다 느끼는 쾌감이 좋아.,The pleasure I feel when I finish the stage successfully.
안 먹어본 음식 없이 다 먹어본 것 같습니다!,"With no food I haven't tried, I think I've tried everything!"
내가 잠들었다 깨면 상해에 도착해있을 거야.,"If I woke up, I would be in Shanghai."
"항상 당당하고, 잘 웃고 솔선수범한 사원이 되도록 노력하겠습니다.","We will do our best to be polite, funny, and a gentleman."
엄마는 회사 일과 집안일을 만족시켜야 해요.,The mother has to satisfy her work and housework.
말보다 행동으로 모든 일에 임해야 합니다.,You should do everything with action rather than words.
샘플 세 개에서 네 개 정도 제공해 주실 수 있나요?,Can you provide four samples from three?
너는 한국 연예인한테 관심이 많아 보여.,You seem to be interested in Korean celebrities.
그것에 대해서는 그에게 물어보세요.,Ask him about it.
가장 주목할 점은 미국인들이 선호하는 직업 100위권 순위 어디에도 교사라는 직업이 없다는 사실이에요.,The most noticeable thing is that there is no teacher in the top 100 jobs Americans prefer.
그들이 무서워할 수도 있어요.,They might be afraid.
음식값을 지급하려고 줄 서 있어요.,They are waiting to pay for the food.
부모님이 돌아가셨으니 난 세상에 혼자 남겨졌어.,"Because my parents passed away, I was left alone in the world."
이번 해에 나는 학점을 잘 맞아 장학금을 받는 것이 나의 목표이에요.,"This year, my goal is to get a scholarship for my good grades."
이것들을 검토해주시기 바립니다.,Please review these.
가장 곤란했던 문제는 내가 보고 싶지도 않은 광고 창이 자꾸 뜨는 거예요.,The most troublesome thing is that the advertisement that I didn't want to see keeps popping up.
나는 내가 원치 않는 직업이라면 거부할 수 있어.,I can refuse if it is a job that I don't want.
그리고 제 친구들은 일본 여행을 떠나고 싶어 합니다.,And my friends want to go on a trip to Japan.
저는 그냥 너무 피곤합니다.,I'm just so tired.
난 너의 영화를 더 재밌게 보기 위해 메이즈러너 시리즈를 책으로 죄다 읽어두었어.,I read all the Maze Runner series as a book to make your movie more interesting.
그녀는 정말 유쾌한 사람이에요.,She is a very pleasant person.
섬에 와 보니 그들을 초대한 사람은 없었습니다.,There was no one who invited them to the island.
나는 내일 워크숍에 갈 겁니다.,I'm going to a workshop tomorrow.
오늘 나의 이야기의 주제는 집입니다.,The topic of my story today is the house.
당신은 어떤 노래를 가장 좋아해요?,Which song do you like the most?
내가 호텔 체크인하고 너한테 갈게.,I will go to you after checking in the hotel.
실례지만 나가는 입구가 어딘가요?,"Excuse me, where is the entrance?"
우리는 노력할 것이고 당신과 거래하게 되어서 기쁘게 생각해요.,We will do our best and I'm glad to do business with you.
웹을 통해 간단하게 누구나 쉽게 적용이 가능하며 강력한 보안 솔루션이 적용됩니다.,People can easily apply it through the web and a powerful security solution is applied.
인생은 끝까지 가봐야 끝을 알 수 있지.,You can know the end of life only when you go to the end.
"오늘은 오전엔 강의실에서 연습했지만, 오후엔 강당에서 연습했어요.","It was practiced in the classroom in the morning, but in the hall in the afternoon."
이 점을 당신이 충분히 이해해 주시길 부탁드립니다.,Please understand this enough.
"또한, 사회적으로 만연한 이중적인 성 관념도 탈피할 필요가 있다.",They also need to redefine the dualistic sex orientation which is commonly seen in society.
내가 생각하는 10년 동안 가장 유망한 직업은 바이오에너지연구원이에요.,The most promising job for the next 10 years is a bioenergy researcher.
김 의장님은 이번 미국 방문 시 사모님과 두 분만 방문하세요.,"This time, Mr.Kim visits the United States only with his wife and two other relatives."
왜 사람들은 어떤 곳을 떠날 때 아쉬울까?,Why do people feel sad when they leave somewhere?
일본에서 한동안 산 다음에 한번은 빈으로 오페라를 보러 갔었어요.,"After spending a while in Japan, I went to Vienna to see the opera."
나는 오늘도 혈압이 낮아서 종일 집에 있었다.,I stayed home all day today because my blood pressure was low.
급히 연락받으셨는데도 와 주셔서 고마워요.,Thank you for coming even though you got in a hurry.
앞으로 보온품질이 계속 향상될 수 있도록 최선을 다할게요.,"From now on, I will do my best to improve the quality of thermal insulation."
"이것에는 칼슘, 철분이 많아 어린이의 성장 발달에 도움을 줍니다.",It helps children to grow up with a lot of calcium and iron.
올해가 3일밖에 남지 않았습니다.,It's only 3 days left this year.
"귀사의 제품이 수입 승인이 나면 우리는 1,000개 이상씩 주문할 것이에요.","If your product is approved for import, we will order more than 1,000 units."
"우리는 당신이 이문제에 대한 철저한 진상규명과, 이러한 문제가 발생하게 된 원인과 이유를 명확하게 알려주기 바랍니다.",We would like you to make a thorough investigation of this problem and tell us the cause and reason for this problem.
이제는 다양한 과일들을 제철이 아닐 때도 먹을 수 있어요.,You can eat various fruits even when they are not in season.
우리는 다음 주에 이사할 수 있도록 나의 변호사가 일하고 있어요.,My lawyer is working to make us move next week.
내가 좋은 음악 하나 소개해 줄게요.,I will introduce a good music.
저는 오버워치를 플레이하는 한국 유저입니다.,I'm a Korean who plays Overwatch.
여태 취직도 못 한 내 한심한 꼬락서니를 보며 우리 집 개도 혀를 찬다.,"My house dog also bites my tongue looking at me, who can't even get a job."
비프스테이크 한 개와 스파게티 한 개 주문할게요.,I'd like to order a beef steak and spaghetti.
"웨스트 앤드 뮤지컬은 음악과 문학, 철학적인 주제를 다룹니다.","The West and the West Musical covers the subjects of music, literature, and philosophy."
기존제출된 문서는 어렵지 않게 제출될 수 있다고 생각됩니다.,It seems that the originally submitted document can be submitted easily.
새로운 한국의 음식을 맛보고 싶다면.,If you want to taste new Korean food.
일단 한번 읽어 보시면 제가 무슨 말을 하는지 아실 거예요.,"First, you'll know what I'm talking about if you read this."
우리가 주문했던 것들의 등록 번호를 가능하면 빨리 알려주세요.,Please let us know the registration number of the items we ordered as soon as possible.
나는 주문을 해서 물건을 받으면 한국에서 보관할게.,I will keep the product in Korea after I get the order.
그리고 대학을 졸업하고 나서 화이트 해커에 대해 공부하고 싶다.,"After graduating from college, I want to study about the White hacker."
그렇기 때문에 나에게는 미술이 필요해요.,"Because of that, I need art."
우리는 비행기 값을 찾아 볼거에요.,We will find the airline fare.
"대장, 보호막이 파괴되기 직전입니다.",It's the moment the immune system is destroyed.
우리가 같은 나라에서 태어났다면 좋았을 텐데.,It would have been better if we were born in the same country.
나는 아직 나의 진로를 정하지 못했어요.,I haven't decided on my career yet.
그는 장애인에게 자리를 양보했어요.,He gave a seat to a disabled person.
그녀가 우울해해서 제가 기분을 풀어 주고 싶습니다.,"She is depressed, so I want to relieve her."
나는 캐나다에서 두 번의 행운을 만났습니다.,I met luck twice in Canada.
"이런 자회사의 경쟁 업체로는 삼성, 캐논 등이 있습니다.","The competitors of these firms are Samsung, Nokia and others."
여름에는 선풍기와 에어컨을 사용해요.,We use a fan and air conditioner in summer.
그를 따라 죽으려는 팬도 있다면서요.,There is a fan who wants to die following him.
가족과 함께하는 시간이 삶에서 최고예요.,The time spent with family is the best in life.
그 레스토랑은 서비스가 별로야.,The restaurant isn't good.
나는 랄프 로렌에서 옷을 샀어.,I bought clothes at Ralph Lauren.
당신이 받은 가장 높은 점수는 무엇이었습니까?,What was your highest score?
세상에서 말하는 지혜는 무엇입니까?,What is wisdom in the world?
우리는 결제에 그것을 포함하지 않았어요.,We didn't include it in the payment.
원하시면 수정할 수 있어요.,You can modify it if you want.
그는 매우 의리 있는 사람입니다.,He is a very logical person.
"여보, 오늘 저녁에 부모님 선물 사러 갈 거야? 나 퇴근하고 갈게요.","Honey, are you going to buy a present for your parents tonight? I'll go home after work."
그것은 사람들을 즐겁게 해줍니다.,It makes people happy.
딱히 생각해 두었던 스타일은 없어요.,There is no style I have thought of.
그 때 지급 문제로 곤란을 겪었다는 것도 알고 있습니다.,We also know that the payment problem was a problem at that time.
모델 컷보다 상세 디테일 컷이 실제 상품의 색상 및 소재에 가까우니 꼭 확인 후 구매해주세요.,"Detailed detail cut is closer to the color and material of the actual product than the model cut, so please check before purchasing."
밥을 먹고 컴퓨터를 켰습니다.,"After having a meal, I turned on the computer."
저는 방송국에 취직한 다음에는 꼭 교훈을 주며 많은 의미를 가진 프로그램을 만들 것입니다.,"After I get a job at the broadcasting company, I will make a program that is full of lessons and has a lot of meaning."
그 남자 입양된 거 아니죠?,Isn't he adopted?
"나는 친구의 성격, 취미, 등을 소개하려고 해요.","I am going to introduce my friend's personality, hobbies, etc."
이 매장은 365일 운영이 가능합니다.,This store is available for 365 days.
나 당신에게 할 말이 있어.,I have something to tell you.
그럼에도 불구하고 네가 나의 마음을 기분좋게 받아줘서 얼마나 기쁜지 모르겠어.,But I don't know how happy you are to receive my feelings.
4월 전시회에 4k 카메라를 전시할 수 있도록 준비하고 있고 이 샘플은 2월 26일 당신 회사 방문 시 가져 갈 거예요.,We are preparing to exhibit the 4k camera in April at the exhibition and we will take this sample when we visit your company on February 26th.
그들은 우리의 미국 내 파트너 연락처를 알려 달라고 했고 우리는 당신의 연락처를 알려 주었습니다.,They asked us to let them know our contacts in the United States and we told them yours.
심해투기는 해양으로 직접 투입하는 방식입니다.,It is a method of directly injecting into the sea.
그는 결국 올림픽에서 2회 연속 금메달을 땄어요.,The result is that he won the gold medal twice in the Olympics.
나는 파라다이스 호텔 로비에서 당신의 연락을 기다렸습니다.,I waited for your contact at the Paradise Hotel lobby.
저는 한국에 도착하기 위해 미국을 거쳐야만 합니다.,I have to go to America to arrive in Korea.
나는 그것을 1인치 크기 정도만 원해요.,I want it to be about 1 inch size.
영업시간이 11시까지인데 괜찮으세요?,"The opening hours are until 11 pm, is that okay?"
간사이 공항을 가고싶은데 이 열차를 타면 되나요?,"I want to go to Jakarta airport, can I take this train?"
각 배송비용에 대한 견적을 보내주세요.,Please send me the estimate of the shipping cost.
그는 식자재를 그들에게 전달해요.,He delivers the ingredients to them.
우리는 오는 동안 정말 좋은 시간을 보냈어요.,We had a great time while we were here.
우린 많은 이야기를 했었어요.,We had a lot of conversations.
오늘 제 점수를 확인했습니다.,I checked my score today.
그러나 당신은 아무런 연락도 없었어요.,But you didn't contact me.
P.S. 제품을 받고 드시기 전에 먼저 꼭 연락 후 드십시오.,"P.S. If you want to receive the product, please contact me first and give it to me."
우리는 신뢰를 깨뜨리면 안 돼.,We shouldn't break trust.
방학은 3 주이지만 2 주 동안 학교를 다녀야 합니다.,"The vacation is for 3 weeks, but I have to go to school for 2 weeks."
목요일과 금요일에 엠티를 가야 해서 결강하게 됩니다.,It's because I have to go to the MTC on Thursday and Friday.
나는 지금 중학교 생활이 만족스러워.,I am satisfied with my middle school life now.
쉽지 않은 여행일 것이에요.,It will be an uncomfortable trip.
나의 취미는 신발을 주문 제작하는 것이에요.,My hobby is making ordered shoes.
우리가 바닥이 평평한 접시를 원해요.,We want a flat surface.
그리고 왜 슬리퍼는 매일 교체해주지 않아?,And why aren't you changing the slippers every day?
상하이면 정확히 중간입니다.,It's the middle if it's above.
물을 전기분해하면 수소와 산소로 나누어집니다.,"If water is mixed with electricity, it is divided into hydrogen and oxygen."
그럼 우리는 치킨이랑 맥주랑 같이 먹을거야.,Then we will have chicken and beer together.
이 기사를 접하기 전에 저는 그저 불편함을 감수해야 된다는 생각만 했습니다.,"After reading this article, I just thought I should take some pains."
오늘 비가 온다는 말이 없었는데 갑자기 왜 이러죠?,"People said it's going to rain today, but why is it like this all of a sudden?"
광고는 기업의 상품을 소비자들에게 알게 합니다.,The advertisement makes the consumers aware of the company's products.
내가 필리핀으로 갔을 때도 문자나 전화 한 통 없었어.,There was no text or call when I went to the Philippines.
개인적인 일로 신경 쓰이게 해서 미안해요.,I'm sorry to bother you because of personal matters.
비누꽂이를 아래 사진처럼 ECONEKO 로고가 보이도록 아크릴판 위에 놓으세요.,Put the soap holder on the acrylic board so that the logo of ECONEKO can be seen as shown in the picture below.
우리나라는 재가 있었던 적이 없어요.,It has never existed in Korea before.
미국의 작가 론 허바드는 이렇게 말했습니다.,The American writer Ron Howard said this.
그동안 우리의 행동으로 인해 그들에게 신뢰를 잃었어요.,We have lost trust in them because of our behavior.
우리는 화주로부터 POD 달라고 독촉 받고 있다.,We are being pressured to get POD from the shipper.
저는 상대편 차에 추돌했습니다.,I was chased by the opposite car.
가장 인기 있는 메뉴로 두 가지 음식을 가져다주세요.,Please bring two dishes as the most popular menu.
그리고 두 번째로 하고 싶은 일은 가족끼리 여행을 가는 것입니다.,The second thing I want to do is to go on a trip with my family.
나는 한국말을 못해서 전화를 해도 말이 안 통할 거예요.,I can't speak Korean so I won't be able to call you.
우린 4월 1일 6시 반부터 자유야.,We are free from 6 p.m. on April 1st.
내가 만약 그였다면 내가 병원을 떠날 때까지 기다렸을 거야.,"If I were him, I would have waited until I left the hospital."
세 번째 질문에는 대답할 수가 없었어요.,I couldn't answer the third question.
박지성 선수처럼 되기 위해 축구를 배우고 있습니다.,I'm learning soccer to be like Park Ji-sung.
매너는 좋은 인간관계 형성을 위해 필요해요.,The manners are necessary for a good relationship.
나는 간혹 마라톤을 할 때도 있습니다.,I sometimes do a marathon.
내일 내가 집으로 데리러 갈까요?,Do you want me to pick you up tomorrow?
저기 주차 되어 있는 비싼 차가 제 차입니다.,This is my car that is parked over there.
스트레스 때문에 아픈 걸 지도 몰라요.,You might be sick because of stress.
공룡끼리 합체해서 더욱 강력한 공룡이 됩니다.,They form together and become stronger dinosaurs.
그렇지만 촛불을 조심하셔야 할 거예요!,But you have to be careful with the candle!
저는 당신이 시간에 맞추어 숙제를 끝낼 수 있을지 걱정하고 있습니다.,I am worried if you can finish your homework on time.
"알다시피, 나는 그녀를 매우 좋아해요.","As you know, I like her very much."
저는 벌써 이용하고 있어요.,I've already used it.
네 여동생이 널 찾고 있어.,Your younger sister is looking for you.
"네, 그렇게 하도록 하겠습니다.","Yes, I will do so."
미국에서는 에너지드링크 과다섭취로 최근 8년간 20명이 숨졌다고 해요.,"People in the United States say that over the past 8 years, 20 people have died because of excessive consumption of energy drinks."
몇 시에 도착할지 몰라 미리 보냅니다.,"I'm not sure what time I'll be there, so I send it in advance."
노블레스를 이번 주에 봤어요.,I saw Nobless this week.
너무 많은 친구들 때문에 방해가 돼요.,It's disturbing because of too many friends.
병원은 이 길을 건너서 직진 후 오른편에 있습니다.,The hospital is on the right after going straight through this street.
"사람들이 저에 관해 뭐라고 하든, 받아들일 자신이 있어요.",People are willing to listen to me no matter what I say.
또한 아무리 뛰어난 사람이라도 노력하는 사람을 이기기는 어렵다는 것도 알게 되었습니다.,They also learned that it's hard to overcome someone who is not an outstanding person.
내년 오년동안의 창고 수용력 요구사항이 뭔가요?,What is the storage capacity requirement for next year?
가능한 한 빨리 조치하겠습니다.,We will take care of it as soon as possible.
요즘 나의 가장 큰 걱정은 스마트폰입니다.,The biggest concern for me is the smartphone these days.
저는 많은 성과를 달성해서 인정받고 싶어요.,I want to achieve a lot of achievements and be recognized.
"날씨는 더웠지만, 기회가 된다면 한 번 더 가보고 싶어.","The weather was hot, but I want to go there one more time if I have a chance."
우리는 서로의 방이 옆으로 있기를 원합니다.,We want to have each other's room next to each other.
그것은 외계인을 만족시키지 못했어요.,It didn't satisfy aliens.
나는 대학원에서 디자인 공부를 했어요.,I studied design at a graduate school.
당신의 스포트라이트는 어디에 있습니까?,Where is your spotlight?
"왠지 좀 더 궁금증을 만들고, 그것을 풀어가고, 다음 이야기를 기대하게 만들면서, 좀 더 깊이 영화에 빠져들게 만든다.","They seem to make more questions, solve them, and make us look deeper into the movie, making us look forward to the next story."
앞으로의 모든 중요한 공지가 이 이메일 주소로 보내지게 됩니다.,This is the e-mail address where all important announcements will be sent.
나는 상대방이 말할 때 열심히 들었어요.,I listened hard when the other person said something.
저는 그와 합법적으로 결혼할 거예요.,I will marry him legally.
면접을 보러오면서 정말 카카오 회사에 들어가고 싶다는 생각을 했습니다.,"After the interview, I thought I really want to work for Kakao company."
가능하면 색이 좀 더 빛났으면 좋겠어.,It would be nice if the color shines more if possible.
네가 원하는 피부 색상을 알려주면 좋겠어.,I want you to tell me the color of your skin that you want.
그것이 고장 났으니 일단 환불해주세요.,"It's broken, so please give me a refund."
그 시절 선조들의 아픔과 수고를 느낄 수 있었습니다.,I could feel the pain and sorrow of my fathers at that time.
이 텀블러는 네가 뜨거운 커피를 안전하게 보관할 수 있게 하고 이 텀블러 안에 있는 음료의 온도는 쉽게 변하지 않아.,This tumbler keeps hot coffee safely and the temperature of the beverage in this tumbler doesn't change easily.
네가 사용하는 칫솔이 이 제품이 맞니?,Is this the product that you use for your toothbrush?
앞으로도 이 배우처럼 진실성 있는 배우가 되는 것이 저의 꿈입니다.,This is my dream to be a true actor like this actor.
그날은 손님이 오기로 약속되어 있었어.,It was promised that the guest would come on that day.
그는 묻히심으로 내 죄를 떠나보내셨습니다.,"With his absence, he departed my sin."
"불필요한 소비를 줄이고, 시간 관리를 더 효율적으로 하기에 좋다고 생각합니다.",We think it is good to reduce unnecessary consumption and manage time more efficiently.
인터뷰 형식의 과제가 있는데 도움이 필요해요.,"There is an assignment in the form of an interview, and I need your help."
여기는 우기 때 비가 엄청나게 내려요.,It's raining heavily here.
모퉁이에 있는 가게에서 당신을 기다릴게요.,I will wait for you at the store on the corner.
그 사람의 진짜 재산은 얼마나 되나요?,How much is his real property?
운행팀과 통화를 해야 합니다.,You have to call the dispatch team.
이 전자 시계에는 스톱 워치 기능이 있어요.,This electronic watch has a stopwatch function.
그만큼 여름에 피서지로 최고의 장소입니다.,This is the best place to be in the summer.
"모든 공사 책임자들이 그러하듯이, 집을 지으려는 사람은 몇 가지 깊은 생각에 빠집니다.",The person who wants to build a house has a few deep thoughts.
모든 청주는 15일간 보관 가능합니다.,People can keep all the cans for 15 days.
이 같은 특검의 수사와 공소 유지 방식은 그 전체가 위법적일 수 있습니다.,"With this kind of investigation and prosecution, the whole of the case can be illegal."
연구 결과 개인 투자자들은 거래 경험을 통해 배운다고 해요.,"According to the research, individual investors learn from their trading experiences."
그냥 그 사람들이 쓰레기인 거야.,They're just dudes.
"김치의 재료에는 소금에 절인 배추와 후춧가루, 다진 마늘, 배 등이 있습니다.","Kimchi ingredients include cabbage, soy sauce, chili powder, and boiled garlic."
우리는 열여덟 시간 만에 카트만두에 도착했어요.,We arrived at Chattanooga in eight hours.
도착하는 날에는 내가 피곤 할 것 같아요.,I think I will be tired on the day I arrive.
저는 교수님들을 실망하게 하지 않는 이 학교에 통통튀는 인재로 거듭 나겠습니다.,I will become an outgoing talent in this school that won't make the professors disappointed.
나는 거기서 일하는 것을 좋아했어요.,I liked working there.
이 학교 근처에 유명한 냉면집이 있나요?,Is there a famous noodle restaurant near this school?
날씨가 따뜻해져서 동네 산책을 했어요.,"The weather got warm, so I took a walk in the neighborhood."
상세사진을 보내주시면 진단해 드리겠습니다.,We will diagnose you if you send us the detailed picture.
네가 아이를 갖고 싶다고 네 생각을 말한 것처럼 난 아기 가질 생각 없다고 내 생각을 말한 것 뿐이야.,"Like you said you want to have a baby, I just told you that I don't think about having a baby."
"단순히 가르치는 것에 목적을 두기보다는, 서로의 문화를 교류하고 배우는 수업을 지향하고 있습니다.",They are looking for a class where we can exchange and learn different cultures rather than just teach.
그들이 당신의 패턴을 사용하도록 만들어.,Make them use your pattern.
아 일본에 살았었다고 들었는데 어디에서 얼마나 살다 왔어?,"I heard that you lived in Japan, how long have you lived there?"
우리는 같은 학과 커플들과 함께 여행을 갔습니다.,We went on a trip with same major couples.
"내 고객들은 영어권 국가가 아니다 보니, 영어 대화가 서툴고 힘듭니다.","The customers are not from English-speaking countries, so the English conversation is hard for them."
몇 번 얘기해 보시면 그가 잘 웃고 활동적인 것을 알게 될 것입니다.,"If you talk to him a few times, you will find out that he is very funny and active."
미스터 김의 그림이 어떻게 서비스되고 있는지 내게 보여줄 수 있나요?,Can you show me how Mr.Kim's painting is being serviced?
자격증 시험이 끝난 기념으로 먹은 음식들입니다.,This is the food we ate for the certificate exam.
나는 이미 그 내용에 대해 알고 있어.,I already know about the content.
